Year,Units,Series,Value
2008,2008 = 100,Endenergieproduktivität,100.0
2009,2008 = 100,Endenergieproduktivität,99.68
2010,2008 = 100,Endenergieproduktivität,96.656
2011,2008 = 100,Endenergieproduktivität,105.294
2012,2008 = 100,Endenergieproduktivität,105.294
2013,2008 = 100,Endenergieproduktivität,102.759
2014,2008 = 100,Endenergieproduktivität,110.822
2015,2008 = 100,Endenergieproduktivität,109.956
2016,2008 = 100,Endenergieproduktivität,110.263
2017,2008 = 100,Endenergieproduktivität,111.539
2018,2008 = 100,Endenergieproduktivität,116.215
2019,2008 = 100,Endenergieproduktivität,116.819
2020,2008 = 100,Endenergieproduktivität,120.019
2021,2008 = 100,Endenergieproduktivität,118.387
2022,2008 = 100,Endenergieproduktivität,124.197
2008,2008 = 100,Primärenergieverbrauch,100.0
2009,2008 = 100,Primärenergieverbrauch,94.097
2010,2008 = 100,Primärenergieverbrauch,98.867
2011,2008 = 100,Primärenergieverbrauch,94.573
2012,2008 = 100,Primärenergieverbrauch,93.514
2013,2008 = 100,Primärenergieverbrauch,96.119
2014,2008 = 100,Primärenergieverbrauch,91.654
2015,2008 = 100,Primärenergieverbrauch,92.224
2016,2008 = 100,Primärenergieverbrauch,93.817
2017,2008 = 100,Primärenergieverbrauch,94.042
2018,2008 = 100,Primärenergieverbrauch,91.303
2019,2008 = 100,Primärenergieverbrauch,89.046
2020,2008 = 100,Primärenergieverbrauch,82.72
2021,2008 = 100,Primärenergieverbrauch,86.51
2022,2008 = 100,Primärenergieverbrauch,81.712
2023,2008 = 100,Primärenergieverbrauch,75.0
2030,2008 = 100,Primärenergieverbrauch,
